SMILES,MolWt,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FractionCSP3
C(CC(=O)O)CN=C(N)N,145.162,-0.8754,3,2,101.7,4,0,10,0.6
CN(C)C(=NCCCC(C(=O)O)N)N,202.258,-0.9452,3,3,104.94,5,0,14,0.75
C(CCNC(=O)N)CN,131.179,-0.6064,3,2,81.14,4,0,9,0.8
C(C(=O)NC(=O)N)N,117.108,-1.86,3,3,98.21,1,0,8,0.333333333
C1C(=O)NC=N1,84.078,-0.8555,1,2,41.46,0,0,6,0.333333333
C(C1C(C(C(O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O,354.212,-3.3867,8,9,220.22,5,1,23,0.555555556
CC1=CC2=C(C=C1C)N=C3C(=NC(=O)NC3=O)N2,242.238,0.72804,2,4,91.5,0,1,18,0.166666667
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC(CO)O)O)O,477.256,-2.9515,7,13,253.35,10,1,30,0.666666667
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,587.161,-1.512,8,15,325.66,10,2,35,0.5
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C5NC(=NC6=O)N)O)O)O)O)NC(=NC2=O)N,868.389,-3.8598,12,23,473.91,14,4,55,0.5
OP1(=O)OP(=O)(OP(=O)(O1)O)O,239.937,0.351,3,6,139.59,0,0,12,0
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O,505.299,0.95874,5,10,215.5,10,2,30,0.416666667
C1=CC=C(C=C1)C(=O)CC=CC(=O)C(=O)O,218.208,1.4693,1,3,71.44,5,1,16,0.083333333
CC(C(CC(=O)O)C(=O)O)(C(=O)O)O,206.15,-1.0025,4,4,132.13,5,0,14,0.571428571
